From,To,Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
ISO/IEC,Global Standards Collaboration,,General Member,,,,,,,,,
university Trier,Chair for Information Security and Cryptography at the University of Trier,,Organization for Group,,,,,,,,,
Future of Identity in the Information Society (FIDIS),ELSA,,Connection,,,,,,,,,
eIDAS,Future Trust,,Government Connection,,,,,,,,,
SCIM - System for Cross-domain Identity Management,IETF,,Organization for Group,,,,,,,,,
Veridos,Secure Identity Alliance,,Executive Member,,,,,,,,,
Chair of Mobile Business & Multilateral Security,Annual Privacy Forum,,Convenor,,,,,,,,,
Health Relationship Trust Profile for Fast Healthcare Interoperability Resources (FHIR) OAuth 2.0 Scopes,HEART Working Group,,Specification of Group,,,,,,,,,
scytl,VoteID 2015,,Sponsor,,,,,,,,,
European Data Protection Supervisor (Contrôleur européen de la protection des données),The International Conference of Data Protection and Privacy Commissioners,,General Member,,,,,,,,,
eID,Discover eID,,Author,,,,,,,,,
Dick Hardt,Amazon,,Employee,,,,,,,,,
Continuity and Organizational Resilience WG2,ISO/TC 292 Security and Resilience,,Organization for Group,,,,,,,,,
7th Framework Programme,Open PEPPOL,,,,,,,,,,,
ID4D,Secure Identity Alliance,,Organization for Group,,,,,,,,,
Open Identity Exchange,Identity Law & Policy Workshop Amsterdam,,Convenor,,,,,,,,,
International Electrotechnical Commission (IEC),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
John Bradley,OpenID Connect Federation 1.0,,Author,,,,,,,,,
OAuth Dynamic Client Registration Management (RFC7592),OAuth WG,,Specification of Group,,,,,,,,,
The Tracking Protection Working Group,W3C,,Organization for Group,,,,,,,,,
Federal Trade Commission,United States Government,,Government Connection,,,,,,,,,
Jericho Forum,Open Group,,Organization for Group,,,,,,,,,
The Federal Office of Administration (BVA),German Government,,Government Connection,,,,,,,,,
Identity Assurance Working Group,Kantara,,Organization for Group,,,,,,,,,
Horizon 2020,WISER Wide-Impact cyber Security Risk framework,,Funding Flow,,,,,,,,,
Web Application Security Working Group,W3C,,Organization for Group,,,,,,,,,
European Commission,Digital Single Market,,Government Connection,,,,,,,,,
Daniela Merella,SSEDIC - Scoping the Single European Digital Identity Community,,Chair / Vice Chair,,She is the project coordinator.,,,,,,,
M. Scurtescu,OAuth 2.0 Multiple Response Type Encoding Practices,,Author,,,,,,,,,
European Data Protection Supervisor (Contrôleur européen de la protection des données),Annual Privacy Forum,,Sponsor,,,,,,,,,
OAuth 2.0 Multiple Response Type Encoding Practices,AB/Connect Working Group,,Specification of Group,,,,,,,,,
Adam Cooper,UK  Cabinet Office,,Employee,,,,,,,,,
Online Identity Tutorials,Privacy and Identity,,Specification of Group,,,,,,,,,
Privacy Interest Group  PING,W3C,,Organization for Group,,,,,,,,,
Internet Research Task Force IRTF,SDNRG Software-Defined Networking Research Group,,,,,,,,,,,
Digitizing European Industry,Communication: EU eGovernment Action Plan 2016-2020 - Accelerating the digital transformation of government,,Author,,,,,,,,,
eGov Working Group,iGov Working Group,,Connection,,,,,,,,,
Thomas J. Smedinghoff,Report: International Law and Policy,,Author,,,,,,,,,
Internet Architecture Board (IAB),The Internet Technical Advisory Committee,,General Member,,,,,,,,,
Future of Identity in the Information Society (FIDIS),Identity of Identity,,Author,,,,,,,,,
Native Applications Working Group,OpenID Foundation,,Organization for Group,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,"Toward Better Usability, Security, and Privacy of Information Technology",,Author,,,,,,,,,
FIDO 2.0: Key Attestation Format,Web Authentication,,Organization for Group,,,,,,,,,
eIDAS,ISSE Information Security Solutions Europe,,Connection,,,,,,,,,
SAML - Security Assertion Markup Language,OASIS,,Organization for Group,,,,,,,,,
Computer Technology Institute & Press - DIOPHANTUS,ABC4Trust,,General Member,,,,,,,,,
Nat Sakimura,OpenID Connect Dynamic Client Registration 1.0,,Author,,,,,,,,,
Corvinas University of Budapest  (CUB),Trust in Digital Life,,General Member,,,,,,,,,
Radboud University Nijmegen (RU) - Digital Security,Identity and Privacy Lab  (PI.lab),,Organization for Group,,,,,,,,,
Verizon,Trust in Digital Life,,General Member,,,,,,,,,
OpenID Connect Account Migration,MONDRNA,,Specification of Group,,,,,,,,,
international Association for Cryptologic Research,20th International Conference on  Practice and Theory of Public-Key Cryptography,,Convenor,,,,,,,,,
Dale Olds,confyrm,,Employee,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,Who Goes There?:  Authentication Through the Lens of Privacy,,Author,,,,,,,,,
Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,"Summary of a Workshop on the Technology, Policy, and Cultural Dimensions of Biometric Systems",,Author,,,,,,,,,
Maciej Machulak,User Managed Access,,Chair / Vice Chair,,,,,,,,,
Identification cards-Integrated circuit cards-Programming interfaces (24727),Integrated Circuit Cards with Contacts WG4,,Specification of Group,,,,,,,,,
Horizon 2020,LIGHTEST,,Funding Flow,,,,,,,,,
enisa European Network and Information Security Agency,European Union,,Government Connection,,,,,,,,,
Gemalto,Secure Identity Alliance,,Executive Member,,,,,,,,,
ACE - Authentication and Authorization of Constrained Environments,IETF,,Organization for Group,,,,,,,,,
United States Government,Computer Science and Telecommunications Board; Division on Engineering and Physical Sciences; National Research Council,,Funding Flow,,,,,,,,,
EEMA,Future Trust,,General Member,,,,,,,,,
FutureID,LIGHTEST,,Connection,,,,,,,,,
Bob West,Global Identity Foundation,,Executive Member,,,,,,,,,
Justin Richer,OAuth Dynamic Client Registration (RFC7591),,Author,,,,,,,,,
Financial Transaction Cards 4909,Financial Transaction Cards WG7,,Specification of Group,,,,,,,,,
Platform Identity Management Nederland (PIMN),Identity Law & Policy Workshop Amsterdam,,Sponsor,,,,,,,,,
New Zealand,Privacy Commissioner (Te Mana Matapono Matatapu),,,,,,,,,,,
ELSA,epSOS,,Connection,,,,,,,,,
7th Framework Programme,FastPass,,Funding Flow,,,,,,,,,
World Bank,International Identity Law and Policy Workshop,,Sponsor,,,,,,,,,
Ministry of Interior Republic of Serbia,Government of Serbia,,Government Connection,,,,,,,,,
IEEE Computer Society,IEEE SecDev 2016,,Convenor,,,,,,,,,
Open Signature Initiative,European Trust Foundation,,Executive Member,,,,,,,,,
Mike Jones,OAuth 2.0 Form Post Response Mode,,Author,,,,,,,,,
Chuck Mortimore,OpenID Connect Core 1.0,,Author,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper: Update on Privacy and Security Issues in Internet Telephony (VoIP) and Related Communication Technologies,,Author,,,,,,,,,
TNO,Identity and Privacy Lab  (PI.lab),,Organization for Group,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Paper Privacy by Design and Smart Metering: Minimize Personal Information to Maintain Privacy,,Author,,,,,,,,,
Tim Bray,Google,,Employee,,,,,,,,,
